id,filename,participant_id,date,status,agc_status,distance,angle,session_id,mic_channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
190,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,135,trial1,0,0.004473050378034971,8.18628115527752e-05,0.018301339049245822,-6.977787986916254e-07,0.012290819491442544,-1.1470308048331672e-14,5.051391074212354e-10,-6.8452275488136705e-06,0.02857063767975146,0.1651139,0.8871811,3.228118,214546.58,0.0042373356,187.69629,5.599394222875811,0.0020475987003938183,0.006280326082050244,0.038932514299702584,0.04521284038175283,0.04112919424115642,45.254833995939045,96.0,-96.0,0.0,-64.0,7.460673604613982e-07,2.286762815289069e-06,1.411538651628123e-05,1.64021493315703e-05,1.491481401772863e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
191,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,135,trial2,0,0.004114311174042163,7.188820726435227e-05,0.017472720030975365,-6.754366119060791e-07,0.011957210169379557,-1.0495553043223754e-14,4.6426256725814833e-10,-6.350071306229754e-06,0.027050397702391083,0.16784778,0.7755496,3.2279177,229056.67,0.004378414,184.98743,6.694278481054387,0.001848473595208493,0.005456996041378309,0.03947541328783362,0.04493240932921193,0.041575905707043156,45.254833995939045,96.0,-96.0,0.0,-64.0,6.750308310092767e-07,1.9881209737978977e-06,1.4313039268379582e-05,1.630116024217748e-05,1.5077987327577456e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
192,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,135,trial3,0,0.003672258921003,0.00010752615874966955,0.02928065832577542,-6.419215483272518e-07,0.011423256762905327,-1.0100283261525976e-14,4.4407895196960235e-10,-6.037555512314177e-06,0.025688920538953493,0.20259002,0.881431,2.9466383,232109.11,0.0044032396,181.29959,5.833676245775265,0.0016408291999085818,0.004990845265143699,0.040663857081433684,0.04565470234657738,0.04263594090885462,45.254833995939045,96.0,-96.0,0.0,-64.0,5.984130108924477e-07,1.8187408406671282e-06,1.4751395647094265e-05,1.6570136487761393e-05,1.5468430654121825e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
193,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,135,trial4,0,0.004876456770613442,7.87197394436984e-05,0.01614281498773457,-7.193326063630345e-07,0.012632693003616784,-1.232935956419636e-14,5.407328694356637e-10,-7.27305343470282e-06,0.02991694119731747,0.13776748,0.90322024,3.2558637,242164.98,0.00422123,177.49232,4.836830862577786,0.00188668498183225,0.005454250924721779,0.035844539354887864,0.04129879027960964,0.03790219028100646,45.254833995939045,96.0,-96.0,0.0,-64.0,6.837040914546048e-07,1.982636825817322e-06,1.302231759268041e-05,1.5004954418497733e-05,1.376888555793536e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
194,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,135,trial5,0,0.005890852239749389,8.690928238124624e-05,0.01475326130144856,-8.033755914529634e-07,0.014105847155431214,-1.2817855249116692e-14,5.674024798021536e-10,-7.743641325496854e-06,0.03257844221337609,0.18972313,0.8884873,4.283584,318785.5,0.0047836946,195.0699,4.945236639023711,0.001910948944952844,0.005695376006372294,0.037357260156328356,0.04305263616270065,0.03942928200072018,45.254833995939045,96.0,-96.0,0.0,-64.0,6.925996658670701e-07,2.060414014259215e-06,1.3590781928088137e-05,1.5651195942347352e-05,1.4337885783217703e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
195,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,180,trial1,0,0.003679731853893041,6.469511274920169e-05,0.01758147476989561,-5.854349642718486e-07,0.010161268554952736,-1.1616051761999816e-14,5.033457523073247e-10,-6.612360679312495e-06,0.025859662779124618,0.23779172,0.79954135,2.9650497,277029.72,0.0030550503,138.75252,3.045793858424927,0.002111613950014478,0.006778932761338639,0.026003727520029996,0.032782660281368635,0.028491870945599577,45.254833995939045,96.0,-96.0,0.0,-64.0,7.726916259496288e-07,2.471565721717951e-06,9.467372321313138e-06,1.1938938043031089e-05,1.0370180791116375e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
196,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,180,trial2,0,0.003326414191686863,4.769268004650288e-05,0.014337565107103325,-5.808261726411659e-07,0.010134855357211956,-1.0822617046455222e-14,4.713575784642972e-10,-6.253963665511648e-06,0.02499067170962772,0.27076194,0.798679,2.457263,194986.22,0.0031578431,136.70389,3.5216531184845272,0.0020978663730807662,0.006913066570238581,0.02844383300920176,0.03535689957944034,0.03144911559487909,45.254833995939045,96.0,-96.0,0.0,-64.0,7.557964438146024e-07,2.4909300039192677e-06,1.0359852329922315e-05,1.2850782333841583e-05,1.1437233624656261e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
197,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,180,trial3,0,0.002997947080852548,3.0237631575055298e-05,0.010086112516187712,-5.388648682111177e-07,0.009290935992954528,-1.0941473099124232e-14,4.744111356019172e-10,-6.222953080818837e-06,0.02410610812501477,0.045222126,0.85515004,2.3392217,221146.3,0.002390835,119.43979,2.7446475207088232,0.00191225552696105,0.006078853668279434,0.02542627178486022,0.03150512545313965,0.027869703687713344,45.254833995939045,96.0,-96.0,0.0,-64.0,6.948067798544135e-07,2.2110903610995585e-06,9.278829572414872e-06,1.148991993351443e-05,1.0161460953947397e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
198,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,180,trial4,0,0.0017057112862474762,2.2169355955335466e-05,0.012997132711777687,-4.26879658577244e-07,0.007431588985263531,-7.772742001573198e-15,3.3993032218314456e-10,-4.535255829196794e-06,0.018235726518692784,0.16496244,0.7945916,1.4079583,124525.34,0.0022252041,110.241196,2.706161992508433,0.0016251288940183574,0.005039831882751339,0.030562209582916507,0.035602041465667845,0.03245371838346644,45.254833995939045,96.0,-96.0,0.0,-64.0,5.880267799432956e-07,1.8263883551093344e-06,1.1129734245377578e-05,1.2956122600486913e-05,1.1811445611832472e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
199,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,3,180,trial5,0,0.003515432658746276,0.00012079124052950436,0.034360277170714645,-6.030872391296767e-07,0.01056735320042041,-1.0819868533070128e-14,4.716290439129042e-10,-6.284246019047755e-06,0.025456946902085466,0.12651181,0.86718524,2.749109,232564.95,0.003876292,149.49657,3.800882285807225,0.001895807154290792,0.00633114222183738,0.02727407058331245,0.03360521280514983,0.029841173508484888,45.254833995939045,96.0,-96.0,0.0,-64.0,6.856973205068916e-07,2.2882819082869152e-06,9.951063481871562e-06,1.2239345390158478e-05,1.0876366714102288e-05,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
